"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2019,1,"NK","Spirit Air Lines","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",690.00,118.00,18.84,4.80,71.07,2.57,20.72,6.00,0.00,6417.00,1110.00,258.00,3726.00,53.00,1270.00,
2019,1,"NK","Spirit Air Lines","BOS","Boston, MA: Logan International",399.00,70.00,7.84,2.06,42.67,0.00,17.43,19.00,2.00,6608.00,391.00,335.00,4663.00,0.00,1219.00,
2019,1,"NK","Spirit Air Lines","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",646.00,92.00,22.23,1.55,41.83,2.44,23.95,6.00,0.00,7266.00,1520.00,994.00,3082.00,53.00,1617.00,
2019,1,"NK","Spirit Air Lines","DEN","Denver, CO: Denver International",235.00,44.00,5.85,0.08,25.94,0.00,12.13,0.00,0.00,2794.00,245.00,13.00,1735.00,0.00,801.00,
2019,1,"NK","Spirit Air Lines","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",569.00,83.00,15.72,0.44,44.83,0.00,22.00,4.00,0.00,6176.00,1640.00,78.00,2361.00,0.00,2097.00,
2019,1,"NK","Spirit Air Lines","DTW","Detroit, MI: Detroit Metro Wayne County",944.00,118.00,31.52,1.27,58.41,0.00,26.80,17.00,5.00,9356.00,1929.00,804.00,3588.00,0.00,3035.00,
2019,1,"NK","Spirit Air Lines","EWR","Newark, NJ: Newark Liberty International",304.00,78.00,4.80,0.22,70.07,0.19,2.73,0.00,0.00,6571.00,359.00,35.00,5986.00,5.00,186.00,
2019,1,"NK","Spirit Air Lines","FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1701.00,282.00,42.78,7.81,172.37,0.60,58.44,12.00,0.00,23030.00,4959.00,597.00,11949.00,15.00,5510.00,
2019,1,"NK","Spirit Air Lines","IAH","Houston, TX: George Bush Intercontinental/Houston",543.00,59.00,10.99,2.13,30.94,0.29,14.65,5.00,0.00,3658.00,677.00,248.00,1506.00,19.00,1208.00,
2019,1,"NK","Spirit Air Lines","LAS","Las Vegas, NV: McCarran International",1267.00,184.00,38.29,6.95,93.57,0.21,44.97,8.00,0.00,11887.00,3511.00,385.00,4905.00,4.00,3082.00,
2019,1,"NK","Spirit Air Lines","LAX","Los Angeles, CA: Los Angeles International",680.00,115.00,17.22,3.54,71.58,0.00,22.67,5.00,0.00,7019.00,2147.00,147.00,3297.00,0.00,1428.00,
2019,1,"NK","Spirit Air Lines","LGA","New York, NY: LaGuardia",341.00,105.00,4.54,1.29,94.61,1.46,3.10,10.00,1.00,8266.00,251.00,310.00,7248.00,56.00,401.00,
