Survival    Age  Gender
       0     23       0
       1     40       1
       1     40       0
       0     30       0
       0     28       0
       0     40       0
       0     45       1
       0     62       0
       0     65       0
       0     45       1
       0     25       1
       1     28       0
       0     28       0
       0     23       0
       1     22       1
       1     23       1
       1     28       0
       1     15       1
       0     47       1
       0     57       0
       1     20       1
       1     18       0
       0     25       0
       0     60       0
       1     25       0
       1     20       0
       1     32       0
       1     32       1
       1     24       1
       1     30       0
       0     15       0
       0     50       1
       1     21       1
       0     25       0
       1     46       0
       1     32       1
       0     30       0
       0     25       0
       0     25       0
       0     25       0
       0     30       0
       0     35       0
       1     23       0
       0     24       0
       1     25       1
